country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Equatorial Guinea,,,,,,,,,,,,,,5.03M,71.4M,8.63M,1.61M,2.97M,1.82M,7.35M,22.8M,27.6M,39.9M,30.6M,42.8M,47.7M,45.1M,106M,85.9M,106M,94.9M,95.4M,87.7M,80.7M,44.3M,45.2M,43M,37.3M,34.9M,31.8M,38.1M,24.3M,33.2M,28.4M,35M,44.5M,29.3M,33M,32M,32.3M,85.4M,23.1M,14.6M,4.48M,300k,8.57M,7.89M,7.71M,7.14M,68.7M,6.45M,12.8M,11.9M
Grenada,,,,,,,,,,,,,,250k,10.3M,11.5M,10.1M,12.6M,8.55M,8.04M,9.83M,16.6M,16.4M,20.8M,67M,81.9M,53.8M,39.1M,37.8M,26.8M,21.8M,24.2M,19M,11.8M,34.6M,12.6M,14.5M,11.8M,8.69M,14.5M,22.5M,16.5M,15.1M,12.2M,18.5M,63.4M,31.6M,18.9M,31.5M,45.5M,34.3M,9.74M,7.78M,12.8M,40.2M,27.4M,9.18M,6.57M,34.1M,16.1M,73.9M,68.1M,−97M
Guatemala,120M,110M,70.8M,73.7M,85M,102M,69.7M,98.8M,103M,79.9M,83.9M,64.9M,97.9M,87.6M,97M,120M,191M,148M,101M,119M,109M,102M,113M,142M,121M,184M,265M,483M,410M,456M,321M,313M,321M,332M,282M,270M,235M,374M,346M,404M,382M,356M,394M,352M,293M,325M,575M,483M,530M,397M,423M,361M,321M,514M,295M,469M,303M,408M,429M,420M,501M,513M,437M
Guyana,91.1M,104M,87.5M,62.2M,48M,57.8M,74.2M,82.6M,113M,127M,119M,100M,71.1M,39M,54.2M,42M,84M,39.8M,92.7M,86M,69.9M,136M,67.4M,41.2M,26.5M,28.1M,53.7M,49.1M,43.1M,73.6M,261M,197M,104M,139M,103M,94.6M,121M,334M,109M,83.7M,98.1M,99.1M,71.4M,80.9M,124M,124M,154M,84.7M,120M,111M,111M,102M,119M,104M,151M,36.2M,80.9M,57.4M,112M,125M,55.3M,139M,205M
"Hong Kong, China",45.7M,36.1M,12.6M,38.1M,2.06M,29M,18M,20.2M,9.19M,7.31M,11.1M,28.4M,20.3M,3.45M,3.54M,−6.61M,10.7M,8.16M,6.96M,31.7M,26.6M,23.9M,20.9M,23.3M,37.7M,62.3M,46.9M,41.7M,40.5M,71.6M,59.5M,54.7M,−57.7M,42.7M,36.2M,20.1M,14.9M,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,39.1M,52.4M,43.1M,52.7M,90.5M,79.6M,66M,57.7M,106M,73.9M,81.9M,65.8M,87M,67.5M,86.9M,151M,114M,117M,157M,202M,224M,231M,316M,371M,539M,559M,560M,490M,534M,442M,686M,483M,470M,435M,367M,478M,305M,395M,428M,1.11B,617M,869M,555M,429M,674M,766M,597M,392M,425M,400M,508M,364M,585M,646M,625M,615M,469M,491M,712M,488M,1.26B,617M,817M
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,165M,73.7M,176M,66.2M,69.2M,77.5M,110M,190M,206M,171M,157M,151M,234M,175M,237M,170M,136M,,,,,,,,,,,,
Haiti,74.6M,101M,39M,22.9M,28M,42.3M,30M,29.4M,36.5M,25.4M,39.3M,33.4M,37.8M,38.1M,57.1M,161M,206M,228M,235M,215M,246M,250M,292M,301M,304M,355M,388M,415M,245M,346M,262M,280M,161M,200M,1.03B,1B,476M,431M,543M,338M,286M,272M,235M,265M,369M,473M,652M,669M,872M,1.04B,3.18B,1.6B,1.36B,1.22B,1.13B,1.19B,1.22B,1.09B,1.09B,756M,942M,951M,895M
Indonesia,858M,1.16B,1.47B,834M,526M,385M,704M,1.88B,2.45B,2.32B,3.19B,3.74B,2.84B,2.91B,2.82B,2.64B,2.42B,1.7B,1.78B,1.91B,2.29B,2.42B,2.32B,1.9B,1.79B,1.62B,1.53B,1.95B,2.24B,2.59B,2.29B,2.38B,2.27B,2.21B,1.7B,1.26B,1.04B,963M,1.59B,2.38B,2.06B,1.94B,1.82B,2.02B,269M,2.8B,1.53B,705M,841M,912M,1.39B,482M,230M,99M,−374M,19.8M,80.1M,403M,1.09B,−659M,1.33B,626M,607M
India,5.87B,4.92B,5.08B,7.26B,8.98B,9.31B,8.92B,9.55B,6.28B,5.87B,5.32B,6.11B,3.65B,4B,5.69B,6.46B,6.85B,3.63B,3.61B,3.81B,5.45B,5.2B,4.39B,4.96B,4.72B,4.45B,4.37B,3.13B,3.45B,3.07B,2.22B,3.87B,3.37B,2.08B,2.85B,2.03B,2.35B,2.19B,2.17B,1.86B,1.89B,2.51B,2.41B,754M,968M,2.19B,1.58B,1.27B,1.9B,2.03B,2.81B,3.11B,1.55B,2.45B,3.01B,3.61B,2.93B,3.46B,2.56B,2.63B,1.84B,3.14B,3.43B
Iran,172M,922M,402M,194M,35.8M,174M,108M,296M,81.5M,118M,165M,70.4M,61.1M,−14.6M,42.8M,7.26M,−18.5M,120M,667M,12.9M,64.3M,17.1M,5.66M,132M,30.5M,40.5M,59.5M,135M,146M,168M,193M,295M,175M,214M,190M,205M,181M,261M,222M,218M,187M,174M,177M,178M,226M,122M,136M,108M,96M,92.7M,113M,105M,149M,128M,79.4M,130M,138M,157M,178M,224M,250M,304M,312M
Iraq,11.1M,5.67M,16.4M,36.3M,85M,83.5M,27.5M,25.1M,16.6M,29.7M,56.7M,105M,131M,69.1M,19.3M,432M,76.2M,250M,194M,74M,28.9M,677M,10.5M,18.2M,−1.02M,48.3M,51.6M,121M,18.5M,28.4M,107M,939M,203M,262M,402M,481M,494M,329M,183M,129M,176M,217M,188M,3.29B,6.04B,27.4B,11B,10.6B,10.5B,3.35B,2.54B,2.07B,1.32B,1.56B,1.4B,1.68B,2.54B,3.24B,2.45B,2.26B,2.45B,1.81B,1.71B
Israel,841M,819M,775M,808M,672M,835M,735M,461M,387M,328M,424M,450M,470M,884M,512M,1.86B,2.43B,2.83B,2.96B,3.62B,2.46B,1.99B,2.11B,3.17B,2.88B,4.35B,4.15B,2.6B,2.49B,2.31B,2.54B,3.05B,3.6B,2.18B,2.1B,555M,3.62B,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,118M,133M,25.5M,29.9M,84.8M,79.7M,68.3M,131M,103M,69M,113M,101M,80.7M,102M,81.7M,75.5M,87.4M,391M,325M,279M,361M,409M,422M,406M,390M,384M,334M,355M,478M,447M,254M,205M,181M,195M,163M,81.2M,108M,30.8M,−20.6M,40M,111M,51.3M,20.2M,114M,57.1M,48.9M,32M,87.9M,157M,147M,46.2M,35.1M,74.5M,97M,67.2M,32.8M,69.7M,108M,138M,70.9M,58.6M,95.4M
Jordan,698M,718M,627M,616M,564M,507M,542M,379M,315M,333M,540M,379M,585M,1.02B,1.4B,1.97B,2.2B,1.56B,1.47B,4.01B,3.95B,3.23B,2.37B,2.25B,1.87B,1.63B,1.37B,1.23B,850M,609M,1.48B,1.3B,585M,463M,491M,652M,645M,642M,611M,629M,820M,708M,870M,1.86B,821M,917M,735M,754M,856M,864M,1.1B,1.1B,1.28B,1.5B,2.89B,2.44B,3.11B,3.32B,2.73B,2.92B,3.29B,3.45B,2.06B
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176M,16.6M,24.4M,78.6M,76.1M,173M,168M,279M,221M,237M,214M,279M,351M,300M,244M,194M,277M,350M,275M,211M,189M,122M,79.2M,82.6M,84.5M,70M,64M,80.4M,59.2M,81.7M,57.5M,70.3M
Kenya,251M,709M,527M,587M,578M,672M,465M,317M,506M,459M,447M,473M,460M,514M,561M,502M,620M,578M,785M,948M,977M,1.19B,1.31B,1.07B,1.17B,1.2B,1.02B,1.08B,1.45B,1.87B,1.88B,1.34B,1.26B,1.32B,935M,878M,773M,636M,602M,437M,763M,758M,596M,717M,810M,915M,1.12B,1.35B,1.36B,1.9B,1.81B,2.6B,2.83B,3.45B,2.78B,2.78B,2.48B,2.77B,2.68B,3.44B,4.22B,3.18B,2.73B
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2M,157M,230M,298M,264M,269M,282M,274M,272M,196M,243M,230M,243M,264M,275M,201M,283M,248M,359M,411M,431M,476M,563M,825M,576M,487M,449M,466M,500M,452M,756M
Cambodia,202M,181M,161M,171M,95.9M,74.8M,89.8M,104M,73.3M,93M,140M,237M,358M,692M,1.34B,325M,2.78M,1.16M,740k,305M,671M,290M,95.9M,104M,60.6M,39.5M,35M,33.3M,38.1M,44.9M,70.1M,145M,291M,434M,410M,612M,510M,468M,450M,367M,511M,552M,610M,575M,498M,541M,559M,642M,605M,641M,701M,664M,783M,808M,812M,769M,812M,934M,828M,1.04B,1.44B,1.37B,1.69B
Kiribati,240k,3.03M,3.59M,4.55M,2.98M,4.33M,5.91M,13.6M,13.4M,13.4M,19.2M,20.3M,30.7M,40.2M,33.8M,29.2M,21.6M,29.1M,38.7M,29M,47.9M,39.7M,40.1M,46.2M,33.5M,35M,31M,34M,27.3M,30.1M,30.1M,29.5M,35.5M,23.9M,23.6M,20.9M,18.5M,23M,27.7M,29.4M,26.9M,22.9M,33.9M,25.2M,20.6M,32M,31.2M,30.9M,29.1M,29.2M,24.1M,58.8M,58.3M,61.9M,80M,75M,69.7M,84.9M,85.5M,62.3M,63M,72.9M,94.8M
St. Kitts and Nevis,,,,,,,,,,,,,,50k,21.7M,7.73M,12.7M,9.01M,7.74M,5.6M,15.9M,9.82M,8.41M,7.85M,10.1M,12.2M,13.2M,15.5M,27M,25.2M,13.8M,11.7M,11.9M,16.3M,9.22M,4.91M,9.11M,10.5M,9.77M,6.82M,6.16M,16M,40.3M,90k,−310k,3.07M,5.44M,3.65M,44.5M,3.35M,11.7M,15M,22.5M,30.4M,,,,,,,,,
South Korea,1.8B,1.63B,1.66B,1.85B,1.18B,1.63B,1.61B,1.79B,1.56B,2.19B,1.69B,1.93B,1.93B,1.3B,1.04B,966M,815M,790M,459M,344M,328M,711M,95.5M,36M,−53M,−3.11M,−25.4M,13.2M,4.02M,67.9M,55.8M,60.6M,−24.9M,−53.8M,−117M,23.3M,−158M,−171M,−58.5M,−56.3M,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835M,546M,565M,590M,573M,579M,501M,421M,438M,367M,378M,578M,454M,395M
Kuwait,,−1.34M,−19.9M,−7.89M,−6.67M,−9.54M,−10.5M,−10.4M,80k,2.2M,2.34M,3.23M,3.36M,1.98M,1.66M,1.29M,680k,1.63M,2.49M,3M,24.3M,25.1M,15.8M,14.4M,13.3M,12.4M,10.8M,5.93M,8.7M,8.11M,20.2M,17.9M,9.35M,2.82M,6.12M,5.23M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,240M,367M,222M,268M,329M,479M,482M,501M,397M,417M,414M,404M,353M,356M,258M,143M,102M,101M,201M,134M,105M,103M,103M,83.5M,90.2M,92.6M,87.6M,95.9M,115M,179M,160M,160M,202M,219M,250M,279M,314M,328M,293M,313M,312M,310M,338M,325M,274M,287M,358M,336M,432M,358M,390M,357M,397M,422M,479M,530M,448M,527M,623M,673M,556M,576M,576M
Lebanon,102M,96.8M,69.8M,60.6M,24.6M,64.4M,60.9M,61.2M,135M,60M,129M,37.6M,83.3M,61.7M,630M,58.6M,156M,484M,726M,343M,740M,1.2B,508M,339M,205M,221M,141M,198M,265M,222M,458M,195M,162M,215M,335M,250M,322M,385M,510M,293M,327M,319M,316M,723M,331M,283M,955M,1.06B,1.09B,588M,467M,481M,774M,628M,832M,1.09B,1.31B,1.47B,1.53B,1.37B,1.53B,1.4B,1.47B
Liberia,70.3M,193M,579M,244M,110M,239M,257M,163M,100M,97.1M,75.3M,69.7M,66.7M,50.3M,65.3M,79.6M,101M,113M,145M,222M,247M,282M,274M,300M,324M,222M,208M,149M,117M,108M,186M,256M,178M,189M,99.7M,167M,233M,115M,112M,143M,106M,62.4M,86M,150M,280M,281M,314M,334M,1.33B,503M,1.48B,775M,597M,556M,776M,1.24B,928M,702M,637M,631M,693M,606M,495M
Libya,353M,321M,273M,220M,168M,65.8M,13.8M,20.1M,49.5M,56M,31.9M,21.8M,44.4M,73.9M,63.3M,6.36M,35.9M,28.5M,19.4M,10.2M,32.1M,12M,283M,14.4M,13.4M,15.5M,26.1M,11.6M,9.79M,17.8M,12.6M,11.3M,4.69M,4.27M,5.67M,7.38M,4.9M,5.75M,8.19M,7.05M,,,,,,26.6M,47.1M,20.9M,75.7M,41.1M,8.44M,665M,93.4M,128M,207M,178M,206M,487M,322M,322M,313M,344M,274M
St. Lucia,,,,,,,,,,,,,,450k,39.5M,41.7M,33.6M,16.5M,12.4M,6.67M,22.2M,31M,22.3M,18.9M,15.5M,19.1M,26.4M,22.2M,32.4M,32.3M,20M,36M,39.5M,37.5M,48.1M,65.9M,51M,36.3M,8.64M,33.6M,12.7M,28.4M,48.1M,20M,−22.6M,12.7M,21.8M,16.8M,15.3M,39.3M,42.7M,34.3M,27.6M,25.5M,19.6M,15.7M,16.8M,16.9M,9.05M,34.9M,104M,99.9M,36.3M
Sri Lanka,82.8M,81.9M,104M,87.6M,70.7M,115M,245M,349M,382M,355M,355M,359M,319M,275M,334M,561M,612M,610M,900M,835M,951M,933M,1.04B,1.16B,1.14B,1.15B,1.06B,773M,918M,881M,947M,1.05B,730M,767M,637M,497M,413M,319M,412M,213M,259M,343M,346M,664M,465M,1.21B,783M,468M,558M,489M,555M,564M,450M,401M,492M,503M,427M,351M,−268M,208M,226M,154M,18.6M
Lesotho,18.7M,48.2M,65.9M,61.8M,60.3M,94.4M,116M,124M,126M,114M,64.2M,114M,87.8M,77.6M,102M,123M,112M,135M,166M,189M,237M,274M,248M,287M,271M,253M,195M,206M,206M,250M,226M,195M,214M,227M,176M,156M,140M,135M,91.5M,47.8M,63M,90.1M,119M,106M,117M,80M,81.3M,127M,126M,120M,279M,272M,305M,350M,114M,98.6M,127M,162M,165M,151M,180M,179M,153M
"Macao, China",17.2M,15.2M,,7.07M,,,2.21M,880k,1.03M,470k,1.4M,1.51M,510k,600k,130k,80k,,,,50k,11.1M,20k,1.87M,1.44M,1.17M,1.08M,760k,200k,550k,510k,330k,140k,160k,210k,420k,−5.2M,380k,460k,700k,380k,,,,,,,,,,,,,,,,,,,,,,,
Morocco,427M,816M,614M,720M,767M,763M,687M,416M,590M,518M,557M,802M,557M,454M,510M,1.01B,943M,2.11B,1.29B,1.43B,2.85B,2.69B,2.25B,1.21B,924M,2.34B,943M,801M,868M,907M,1.94B,2.35B,1.35B,1.18B,983M,658M,848M,692M,785M,1.02B,686M,803M,579M,768M,931M,884M,1.27B,1.28B,1.44B,1.04B,999M,1.43B,1.52B,2.04B,2.24B,1.76B,2.38B,2.72B,872M,831M,1.94B,966M,1.51B
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7M,61.3M,161M,194M,188M,219M,166M,153M,208M,264M,239M,275M,235M,503M,458M,495M,360M,533M,356M,301M,271M,275M,374M,556M,596M,933M
Madagascar,30.6M,15.9M,48.3M,81.5M,400M,407M,368M,335M,366M,329M,342M,316M,331M,265M,293M,331M,245M,220M,287M,365M,560M,611M,643M,497M,439M,524M,685M,631M,517M,634M,634M,688M,525M,526M,406M,387M,464M,1.24B,713M,521M,500M,605M,584M,739M,1.53B,1.1B,920M,738M,649M,423M,513M,451M,382M,506M,598M,773M,709M,868M,805M,795M,1.37B,1.07B,1.04B
Maldives,330k,2.97M,5.3M,3.2M,2.91M,1.11M,15.4M,3.34M,2.31M,1.25M,1.81M,6.6M,4.3M,3.4M,2.87M,12.8M,12.4M,13.2M,22.5M,17M,52.3M,32.2M,14.3M,26M,13.2M,22.2M,34.3M,28M,35.2M,43.1M,23.3M,38.8M,41.7M,37.6M,34.1M,61.2M,32.7M,30.6M,32.6M,36.3M,25.1M,32.4M,30.5M,21.7M,32M,82.5M,40.1M,31.9M,50.9M,22.8M,84.2M,48.1M,55.9M,20.9M,22.3M,27.3M,24.9M,51.6M,141M,76.5M,325M,112M,126M
Mexico,59.8M,600M,286M,51.6M,−92.7M,352M,240M,272M,190M,137M,217M,119M,129M,68M,103M,87.5M,79.9M,63M,48.5M,178M,161M,283M,402M,377M,240M,381M,532M,324M,305M,199M,279M,430M,461M,660M,574M,384M,322M,149M,72.4M,86M,−5.03M,165M,209M,160M,174M,262M,310M,141M,181M,230M,520M,1.04B,470M,602M,847M,372M,938M,849M,591M,574M,828M,564M,515M
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430k,5.87M,47.8M,75.6M,49.8M,103M,81.3M,62.4M,86.5M,70.9M,99.7M,80.5M,73.8M,67.5M,72.6M,72.1M,67.3M,65.2M,72.8M,25M,98.5M,93M,105M,62.5M,64.8M,13.7M,79.7M,58.3M,69.8M,192M,107M,139M
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3M,157M,99.8M,141M,141M,153M,413M,417M,415M,436M,370M,335M,277M,238M,221M,213M,207M,188M,189M,151M,196M,209M,236M,186M,164M,181M,152M,300M,338M,234M
Mali,710k,18.7M,90.5M,61.2M,148M,180M,200M,132M,216M,163M,155M,193M,222M,372M,540M,578M,335M,392M,476M,512M,666M,606M,569M,593M,946M,1.08B,855M,703M,798M,823M,776M,716M,645M,579M,651M,702M,654M,636M,520M,538M,479M,586M,670M,767M,738M,886M,1.03B,932M,869M,875M,1.17B,1.3B,1.07B,1.42B,1.25B,1.38B,1.39B,1.53B,1.67B,1.99B,1.67B,1.44B,1.23B
Malta,149M,114M,98.9M,191M,209M,165M,167M,152M,173M,142M,169M,117M,93.7M,159M,111M,144M,130M,120M,129M,145M,42.1M,158M,78.9M,135M,34.4M,52.6M,15.4M,−2.69M,−5.05M,−9.26M,8.58M,34.3M,6.28M,51.7M,71.5M,15.1M,104M,35.2M,34.2M,40.1M,38.5M,3.17M,18.5M,,,,,,,,,,,,,,,,,,,,
Myanmar,384M,223M,313M,406M,209M,158M,145M,103M,125M,207M,165M,276M,257M,323M,277M,215M,243M,319M,577M,848M,698M,620M,728M,721M,619M,798M,665M,502M,551M,224M,225M,233M,136M,114M,173M,148M,51.7M,81.1M,108M,104M,133M,166M,165M,159M,150M,172M,168M,212M,552M,374M,364M,359M,481M,3.76B,1.39B,1.3B,1.68B,1.69B,1.81B,2.17B,2.96B,1.51B,1.08B
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11M,25.1M,4.68M,115M,105M,88.1M,73.8M,81M,124M,107M,113M,98M,115M,96.9M,131M,165M,105M,217M,133M,106M
Mongolia,,,,,,,,,,,,,,,,,13M,12M,10.5M,9.28M,5.99M,6.18M,6.3M,5.25M,5.81M,13.8M,14.1M,8.55M,6.37M,9.97M,20.1M,86.7M,128M,127M,186M,146M,179M,233M,218M,215M,228M,257M,252M,269M,257M,224M,207M,204M,223M,259M,301M,328M,447M,435M,316M,265M,343M,808M,348M,329M,720M,282M,297M
Northern Mariana Islands,35.8M,42.5M,56.1M,118M,75.5M,122M,118M,128M,181M,267M,265M,278M,287M,311M,327M,324M,338M,326M,336M,342M,307M,349M,392M,312M,417M,347M,489M,379M,304M,308M,112M,37.1M,9.74M,150M,4.25M,−790k,−1.36M,1M,290k,170k,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,170k,45.5M,720k,1.79M,−530k,,75M,194M,150k,440k,830k,1.18M,1.17M,790k,3.46M,72.8M,254M,271M,326M,390M,404M,371M,562M,594M,761M,854M,968M,1.33B,1.7B,1.49B,1.61B,1.71B,2.18B,1.91B,1.86B,1.47B,1.25B,1.45B,1.61B,1.26B,1.51B,1.6B,3.56B,1.44B,1.56B,1.57B,1.91B,1.62B,1.75B,1.92B,2.07B,2.1B,2.16B,2.39B,2.15B,2.06B,1.74B,2B,1.95B,2.01B,2.72B,2.28B,2.62B
Mauritania,370k,11.1M,23.4M,17M,101M,75.5M,163M,96.4M,168M,86.1M,53.3M,94.1M,77.5M,154M,448M,335M,795M,633M,749M,477M,435M,583M,501M,483M,480M,569M,508M,371M,331M,465M,377M,335M,287M,478M,369M,276M,355M,338M,239M,322M,350M,465M,581M,348M,238M,226M,252M,292M,417M,348M,391M,375M,421M,296M,262M,371M,349M,326M,480M,433M,685M,429M,343M
Mauritius,6.08M,63.7M,47.5M,63.6M,22.3M,20.9M,40.8M,47.7M,99.1M,49.8M,47.7M,64.6M,63M,74.7M,123M,115M,67.4M,81.6M,135M,85.5M,80.5M,147M,130M,112M,95.3M,75.3M,119M,119M,102M,103M,136M,101M,67.3M,41M,24M,31.2M,29.3M,62.8M,59.7M,64.1M,34.3M,35.1M,39.3M,−19.5M,39.8M,38.2M,21.6M,71.4M,105M,157M,129M,180M,182M,144M,42M,90.5M,48.7M,16.3M,73.3M,24.3M,352M,293M,81.9M
Malawi,50.3M,96M,130M,183M,341M,331M,286M,268M,392M,235M,286M,224M,238M,177M,215M,274M,269M,308M,327M,402M,355M,360M,328M,313M,510M,322M,432M,515M,667M,761M,799M,858M,852M,748M,643M,579M,658M,496M,636M,657M,683M,669M,588M,699M,621M,685M,827M,706M,892M,750M,1.08B,816M,1.21B,1.16B,952M,1.18B,1.42B,1.7B,1.38B,1.27B,1.55B,1.18B,1.37B
Malaysia,154M,208M,194M,107M,160M,200M,254M,188M,224M,245M,208M,296M,315M,230M,301M,391M,244M,253M,210M,308M,319M,358M,335M,441M,755M,576M,462M,556M,189M,208M,619M,367M,237M,189M,109M,120M,−387M,−222M,227M,152M,66.8M,43.1M,118M,124M,296M,35.2M,255M,218M,152M,133M,9.91M,46.5M,21.1M,−101M,20.9M,150k,−45.2M,−23.8M,−30.6M,4.68M,2.75M,14.4M,−5.5M
Namibia,,,,,,,,,,,,,100k,,,,,,,,,,,30k,,16.1M,34.6M,32M,39.7M,109M,199M,290M,211M,238M,208M,247M,259M,253M,281M,277M,260M,191M,221M,208M,225M,143M,184M,248M,223M,354M,290M,297M,286M,289M,249M,165M,197M,213M,172M,158M,191M,183M,332M
New Caledonia,,,,,,,131M,85.7M,112M,115M,161M,253M,311M,345M,277M,227M,164M,261M,323M,356M,421M,370M,420M,509M,391M,424M,443M,513M,455M,509M,455M,472M,501M,581M,584M,574M,510M,493M,493M,477M,,,,,,,,,,,,,,,,,,,,,,,
Niger,430k,19.8M,41.9M,39.3M,121M,116M,174M,166M,219M,232M,220M,263M,252M,367M,627M,538M,501M,338M,476M,455M,395M,505M,692M,481M,456M,812M,690M,680M,656M,558M,614M,576M,521M,511M,526M,364M,340M,491M,435M,281M,335M,434M,467M,652M,673M,634M,640M,506M,562M,448M,790M,651M,927M,807M,930M,994M,1.09B,1.37B,1.4B,1.58B,2.05B,1.81B,2.11B
Nigeria,377M,332M,291M,156M,371M,642M,538M,544M,546M,590M,761M,647M,474M,400M,323M,323M,199M,150M,123M,71.3M,83.1M,107M,93.8M,120M,94.1M,91.2M,125M,120M,179M,530M,385M,399M,368M,451M,287M,269M,259M,291M,302M,220M,264M,266M,455M,426M,718M,7.35B,12.7B,1.77B,1.06B,1.3B,2.27B,1.9B,2.03B,2.64B,2.56B,2.72B,2.85B,3.78B,3.57B,3.59B,3.58B,3.53B,4.54B
Nicaragua,60M,66.8M,52.6M,54.5M,65.1M,63.6M,83.2M,72.5M,69.5M,94.6M,125M,81.3M,59.2M,133M,134M,109M,101M,84.7M,94.6M,227M,478M,263M,271M,271M,317M,306M,342M,288M,410M,446M,561M,1.32B,915M,492M,814M,744M,1.16B,525M,773M,898M,778M,1.42B,655M,1.01B,1.37B,799M,739M,731M,652M,625M,534M,521M,541M,493M,436M,521M,489M,623M,375M,422M,489M,754M,1.17B
Nepal,63.2M,78.1M,65.3M,122M,141M,125M,109M,97.7M,74.2M,77.1M,142M,146M,169M,170M,143M,167M,172M,265M,220M,352M,378M,419M,466M,463M,423M,492M,547M,585M,632M,715M,559M,531M,538M,411M,507M,448M,426M,436M,451M,416M,445M,539M,487M,606M,524M,486M,530M,540M,572M,635M,807M,739M,781M,888M,887M,1.38B,1.21B,1.42B,1.56B,1.45B,1.87B,1.6B,1.26B
Nauru,,,,,,,,,,,,,,,,40k,,40k,,60k,90k,60k,50k,70k,80k,160k,130k,150k,380k,100k,320k,710k,710k,750k,17.4M,4.41M,5.37M,4.67M,4.51M,8.71M,6.04M,18.2M,27.1M,30.5M,22.1M,13.1M,25.1M,31.5M,36.1M,28.3M,28.1M,32.4M,31.1M,26.5M,22.1M,36.4M,26M,28.3M,41.1M,59.7M,31.2M,33.8M,36.7M
Oman,3.02M,3.85M,4.94M,3.99M,43.6M,18M,5.97M,8.95M,520k,390k,630k,12.8M,55.9M,113M,764M,556M,653M,1.28B,187M,666M,548M,649M,358M,186M,283M,201M,225M,87.4M,10.2M,41.8M,109M,19.7M,59.7M,196M,235M,91.5M,108M,144M,816M,72.3M,113M,7.09M,116M,86.6M,123M,22M,61.1M,235M,78M,24.1M,−23M,,,,,,,,,,,,
Pakistan,1.84B,1.86B,2.76B,3.56B,3.7B,3.61B,2.68B,3.34B,2.61B,2.14B,2.69B,2.61B,1.73B,1.42B,2.09B,2.93B,3.89B,2.12B,1.97B,1.89B,2.88B,2.04B,2.25B,1.71B,1.65B,1.73B,1.72B,1.24B,1.99B,2.08B,1.44B,1.76B,1.2B,1.16B,1.54B,514M,788M,948M,1.02B,834M,694M,2.67B,2.85B,1.32B,1.62B,1.77B,2.42B,1.24B,1.12B,1.55B,3.2B,3.76B,2.09B,2.28B,3.72B,4.22B,3.36B,2.68B,1.52B,2.22B,2.76B,2.92B,1.87B
Panama,95.4M,71.8M,81.7M,129M,75.5M,257M,130M,108M,79.3M,97.2M,89.2M,105M,66.2M,107M,70.1M,88.6M,112M,85.8M,68M,58.5M,64.8M,60.3M,69.6M,77.8M,147M,111M,73.2M,71.5M,40.3M,35.7M,182M,195M,299M,123M,46.1M,55.9M,60.3M,59.8M,46.1M,37.2M,45.2M,57.5M,45M,47.9M,37.9M,34.8M,49.1M,−110M,38.2M,65.9M,113M,96.6M,51.6M,10.5M,−190M,11.7M,27.3M,47.3M,42.2M,77.9M,153M,91.4M,146M
Peru,−71.6M,−118M,50.3M,66.1M,144M,386M,295M,294M,218M,210M,292M,237M,218M,388M,297M,263M,287M,325M,401M,505M,464M,534M,424M,644M,703M,769M,592M,572M,515M,569M,644M,904M,593M,827M,510M,518M,450M,605M,731M,606M,536M,657M,709M,681M,600M,578M,563M,389M,494M,482M,−136M,590M,418M,385M,347M,384M,376M,41.7M,482M,504M,524M,304M,851M
Philippines,534M,180M,246M,201M,577M,745M,391M,711M,470M,582M,303M,438M,906M,1.02B,649M,700M,682M,626M,728M,710M,716M,872M,828M,1.01B,898M,1.06B,1.65B,1.16B,1.1B,1.2B,1.67B,1.35B,2.04B,1.74B,1.17B,985M,1.01B,805M,806M,799M,712M,759M,740M,829M,548M,676M,694M,713M,139M,415M,643M,10.4M,103M,228M,701M,586M,351M,187M,580M,918M,1.48B,1.63B,1.84B
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,335M,227M,99.3M,52.8M,136M,37.5M,44.7M,45M,39.9M,32.7M,25.8M,28.6M,46.6M,27M,48.5M,41M,31.1M,27.3M,12.8M,36.3M,25.2M,15.8M,18.8M,23.5M,90.1M,25.5M,67.5M,49.4M,59.6M
